item_id,item_name,icon_url,category_name,fetched_at
2,ファイアシャード,,一般,2026-08-06T07:56:17Z
3,アイスシャード,,一般,2026-08-06T07:56:17Z
4,ウィンドシャード,,一般,2026-08-06T07:56:17Z
5,アースシャード,,一般,2026-08-06T07:56:17Z
6,ライトニングシャード,,一般,2026-08-06T07:56:17Z
7,ウォーターシャード,,一般,2026-08-06T07:56:17Z
8,ファイアクリスタル,,一般,2026-08-06T07:56:17Z
9,アイスクリスタル,,一般,2026-08-06T07:56:17Z
10,ウィンドクリスタル,,一般,2026-08-06T07:56:17Z
11,アースクリスタル,,一般,2026-08-06T07:56:17Z
12,ライトニングクリスタル,,一般,2026-08-06T07:56:17Z
13,ウォータークリスタル,,一般,2026-08-06T07:56:17Z
15,アイスクラスター,,一般,2026-08-06T07:56:17Z
16,ウィンドクラスター,,一般,2026-08-06T07:56:17Z
17,アースクラスター,,一般,2026-08-06T07:56:17Z
18,ライトニングクラスター,,一般,2026-08-06T07:56:17Z
1855,ミスリルランス,,一般,2026-08-06T07:56:17Z
1978,ウォーターワンド,,一般,2026-08-06T07:56:17Z
2000,エルムケーン,,一般,2026-08-06T07:56:17Z
2061,セプターDX,,一般,2026-08-06T07:56:17Z
2143,グリモア,,一般,2026-08-06T07:56:17Z
2151,ユーピカトリクス,,一般,2026-08-06T07:56:17Z
2228,ラウンドシールド,,一般,2026-08-06T07:56:17Z
2257,ブルホプロン,,一般,2026-08-06T07:56:17Z
2394,オーナメンタルハンマー,,一般,2026-08-06T07:56:17Z
2445,アマチュアニードル,,一般,2026-08-06T07:56:17Z
2449,ウォームファングニードル,,一般,2026-08-06T07:56:17Z
2474,スチールアレンビック,,一般,2026-08-06T07:56:17Z
2501,ホワイトスキレット,,一般,2026-08-06T07:56:17Z
2521,アマチュアピック,,一般,2026-08-06T07:56:17Z
2526,スチールピック,,一般,2026-08-06T07:56:17Z
2538,ノービスモール,,一般,2026-08-06T07:56:17Z
2547,アマチュアハチェット,,一般,2026-08-06T07:56:17Z
2585,ラグワーム,,一般,2026-08-06T07:56:17Z
2624,トップウォーターフロッグ,,一般,2026-08-06T07:56:17Z
2703,アッシュマスク(ラピスラズリ),,一般,2026-08-06T07:56:17Z
2728,シルバースペクタクルズ,,一般,2026-08-06T07:56:17Z
2731,シルバーマグニファイアーズ,,一般,2026-08-06T07:56:17Z
2763,ベルベティーンシュガーローフ,,一般,2026-08-06T07:56:17Z
2790,ミスリルサークレット(ルベライト),,一般,2026-08-06T07:56:17Z
2792,ミスリルサークレット(ジルコン),,一般,2026-08-06T07:56:17Z
2804,リネン・クラフターウェッジキャップ,,一般,2026-08-06T07:56:17Z
2837,フェルトギャザラーコイフ,,一般,2026-08-06T07:56:17Z
2995,ウェザードシェパードチュニック,,一般,2026-08-06T07:56:17Z
3043,アルドゴートジャケット,,一般,2026-08-06T07:56:17Z
3165,ペイストハーネス,,一般,2026-08-06T07:56:17Z
3191,ラプトルハーネス,,一般,2026-08-06T07:56:17Z
3241,ミリシアキュイラス,,一般,2026-08-06T07:56:17Z
3249,オペレーティブダルマティカ,,一般,2026-08-06T07:56:17Z
3317,ボトム,,一般,2026-08-06T07:56:17Z
3377,トードブリーチ,,一般,2026-08-06T07:56:17Z
3407,リネンガスキン,,一般,2026-08-06T07:56:17Z
3447,ラプトルサブリガ,,一般,2026-08-06T07:56:17Z
3515,ハーフグローブ,,一般,2026-08-06T07:56:17Z
3647,ウールハーフグローブ,,一般,2026-08-06T07:56:17Z
3698,パトリシアングローブ,,一般,2026-08-06T07:56:17Z
3771,ハードレザーシューズ,,一般,2026-08-06T07:56:17Z
3788,ダックビルDX,,一般,2026-08-06T07:56:17Z
3810,アルドゴートギャザラークラコー,,一般,2026-08-06T07:56:17Z
3870,オークパッテン,,一般,2026-08-06T07:56:17Z
4113,マラカイトブレスレット,,一般,2026-08-06T07:56:17Z
4214,サンイヤリング,,一般,2026-08-06T07:56:17Z
4222,フローライトイヤリング,,一般,2026-08-06T07:56:17Z
4311,ファングネックレス,,一般,2026-08-06T07:56:17Z
4337,ウルフファングネックレス,,一般,2026-08-06T07:56:17Z
4421,ボーンリング,,一般,2026-08-06T07:56:17Z
4476,アメジストリング,,一般,2026-08-06T07:56:17Z
4497,エレクトラムリング,,一般,2026-08-06T07:56:17Z
4640,ドードーのグリル,,一般,2026-08-06T07:56:17Z
4650,ボイルドエッグ,,一般,2026-08-06T07:56:17Z
4699,プレッツェル,,一般,2026-08-06T07:56:17Z
4733,ペストリーフィッシュ,,一般,2026-08-06T07:56:17Z
4766,アルドゴートの肩ロース,,一般,2026-08-06T07:56:17Z
4782,ラノシアレタス,,一般,2026-08-06T07:56:17Z
4810,フェアリーアップル,,一般,2026-08-06T07:56:17Z
4812,ピクシープラム,,一般,2026-08-06T07:56:17Z
4848,メープルシュガー,,一般,2026-08-06T07:56:17Z
4868,ギサールの野菜,,一般,2026-08-06T07:56:17Z
4882,リムレーンズダガー,,一般,2026-08-06T07:56:17Z
4955,ウォームトラウト,,一般,2026-08-06T07:56:17Z
5059,コバルトインゴット,,一般,2026-08-06T07:56:17Z
5060,ダークスチールインゴット,,一般,2026-08-06T07:56:17Z
5061,ダークスチールナゲット,,一般,2026-08-06T07:56:17Z
5064,シルバーインゴット,,一般,2026-08-06T07:56:17Z
5066,エレクトラムインゴット,,一般,2026-08-06T07:56:17Z
5067,ローズゴールドインゴット,,一般,2026-08-06T07:56:17Z
5068,ローズゴールドナゲット,,一般,2026-08-06T07:56:17Z
5074,コバルトプレート,,一般,2026-08-06T07:56:17Z
5075,ダークスチールプレート,,一般,2026-08-06T07:56:17Z
5110,亜鉛鉱,,一般,2026-08-06T07:56:17Z
5116,鏡鉄鉱,,一般,2026-08-06T07:56:17Z
5118,金鉱,,一般,2026-08-06T07:56:17Z
5120,白金鉱,,一般,2026-08-06T07:56:17Z
5126,大龍黒曜石,,一般,2026-08-06T07:56:17Z
5141,ジルコン原石,,一般,2026-08-06T07:56:17Z
5170,ダンビュライト,,一般,2026-08-06T07:56:17Z
5174,ラピスラズリ,,一般,2026-08-06T07:56:17Z
5190,トパーズ,,一般,2026-08-06T07:56:17Z
5206,ブラッディペブル,,一般,2026-08-06T07:56:17Z
5288,ヒッポグリフレザー,,一般,2026-08-06T07:56:17Z
5300,ギガントードの粗皮,,一般,2026-08-06T07:56:17Z
5328,羅紗,,一般,2026-08-06T07:56:17Z
